id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2650031,VIIRS,2013-08-05 22:13:43+00:00,,56.162895,55.315128,0101000020E6100000E606431D56A84B4049D74CBED9144C40,1.63,1716,1.25,2.55,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_195,__None__,viirs-ir-sources-20130805.kmz,1
2650032,VIIRS,2013-08-05 22:13:43+00:00,,55.282276,61.467918,0101000020E6100000D89AADBCE4BB4E400D39B69E21A44B40,17.72,888,10.25,291.3,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_197,__None__,viirs-ir-sources-20130805.kmz,1
2650033,VIIRS,2013-08-05 22:13:43+00:00,,56.251068,54.023983,0101000020E61000007A54FCDF11034B403B8908FF22204C40,0.41,1810,0.36,0.59,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_198,__None__,viirs-ir-sources-20130805.kmz,0
2650034,VIIRS,2013-08-05 22:13:43+00:00,,55.266827,61.434341,0101000020E6100000EE27637C98B74E404B581B6327A24B40,3.17,1017,1.83,30.26,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_200,__None__,viirs-ir-sources-20130805.kmz,1
2650035,VIIRS,2013-08-05 22:13:45+00:00,,55.20525,61.435074,0101000020E610000082AB3C81B0B74E4083C0CAA1459A4B40,3.14,860,1.82,58.69,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_201,__None__,viirs-ir-sources-20130805.kmz,1
2650036,VIIRS,2013-08-05 22:13:45+00:00,,56.1856,53.756569,0101000020E61000006E15C440D7E04A409D11A5BDC1174C40,0.3,1810,0.27,0.45,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_202,__None__,viirs-ir-sources-20130805.kmz,0
2650037,VIIRS,2013-08-05 22:13:45+00:00,,56.039448,55.045815,0101000020E610000047551344DD854B4041F2CEA10C054C40,0.42,1810,0.33,0.55,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_203,__None__,viirs-ir-sources-20130805.kmz,0
2650038,VIIRS,2013-08-05 22:13:46+00:00,,56.113297,54.034962,0101000020E6100000274D83A279044B4012DE1E84800E4C40,2.81,1500,2.45,8.53,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_205,__None__,viirs-ir-sources-20130805.kmz,1
2650039,VIIRS,2013-08-05 22:13:46+00:00,,56.028801,54.258713,0101000020E61000006806F1811D214B40CA8B4CC0AF034C40,0.31,1810,0.27,0.44,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_206,__None__,viirs-ir-sources-20130805.kmz,0
2650040,VIIRS,2013-08-05 22:13:48+00:00,,55.884556,54.321346,0101000020E6100000A759A0DD21294B4084BD892139F14B40,1.37,1745,1.15,2.18,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_207,__None__,viirs-ir-sources-20130805.kmz,1
2650041,VIIRS,2013-08-05 22:13:50+00:00,,55.527206,56.384506,0101000020E6100000D28E1B7E37314C40A320787C7BC34B40,0.3,1810,0.21,0.34,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_208,__None__,viirs-ir-sources-20130805.kmz,0
2650042,VIIRS,2013-08-05 22:13:54+00:00,,55.043053,59.030525,0101000020E6100000EE5A423EE8834D40527FBDC282854B40,0.37,1810,0.22,0.36,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_210,__None__,viirs-ir-sources-20130805.kmz,0
2650043,VIIRS,2013-08-05 22:13:57+00:00,,55.866089,48.961407,0101000020E61000009F9273620F7B484072361D01DCEE4B40,5.81,1752,6.09,11.41,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_213,__None__,viirs-ir-sources-20130805.kmz,1
