id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2634444,VIIRS,2013-08-07 01:19:03+00:00,,51.493217,6.730229,0101000020E6100000F65CA626C1EB1A40666A12BC21BF4940,7.52,1200,6.31,53.71,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_136,__None__,viirs-ir-sources-20130807.kmz,1
2634445,VIIRS,2013-08-07 01:19:05+00:00,,51.492214,6.738111,0101000020E61000007C45B75ED3F31A4011514CDE00BF4940,11.02,1200,9.24,78.5,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_138,__None__,viirs-ir-sources-20130807.kmz,1
2634446,VIIRS,2013-08-07 01:19:05+00:00,,51.480358,6.705386,0101000020E61000009B3924B550D21A409D2FF65E7CBD4940,5.13,905,4.31,113.47,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_139,__None__,viirs-ir-sources-20130807.kmz,1
2634447,VIIRS,2013-08-07 01:19:05+00:00,,46.211018,30.060629,0101000020E61000006E30D461850F3E40056F48A3021B4740,0.82,1316,1.66,9.78,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_140,__None__,viirs-ir-sources-20130807.kmz,1
2634448,VIIRS,2013-08-07 01:19:06+00:00,,51.365055,6.710934,0101000020E610000036751E15FFD71A40E21E4B1FBAAE4940,12.33,990,10.31,189.61,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_142,__None__,viirs-ir-sources-20130807.kmz,1
2634449,VIIRS,2013-08-07 01:19:10+00:00,,48.758671,20.545483,0101000020E610000023861DC6A48B344039B69E211C614840,12.89,1021,10.78,174.78,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_144,__None__,viirs-ir-sources-20130807.kmz,1
2634450,VIIRS,2013-08-07 01:19:10+00:00,,48.604595,21.173918,0101000020E61000008C2FDAE3852C35409E29745E634D4840,2.64,998,2.44,43.39,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_145,__None__,viirs-ir-sources-20130807.kmz,1
2634451,VIIRS,2013-08-07 01:19:13+00:00,,51.570656,-3.778295,0101000020E6100000601F9DBAF2390EC012A27C410BC94940,4.56,1487,5.46,19.69,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_148,__None__,viirs-ir-sources-20130807.kmz,1
2634452,VIIRS,2013-08-07 01:19:13+00:00,,51.168026,3.814591,0101000020E610000070ED444948840E4058703FE081954940,10.74,927,8.57,204.45,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_153,__None__,viirs-ir-sources-20130807.kmz,1
2634453,VIIRS,2013-08-07 01:19:19+00:00,,51.036411,2.27364,0101000020E6100000FF04172B6A3002407A1B9B1DA9844940,2.26,1554,2.22,6.73,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_157,__None__,viirs-ir-sources-20130807.kmz,1
2634454,VIIRS,2013-08-07 01:19:19+00:00,,46.471298,26.463039,0101000020E6100000C5C551B989763A40C9552C7E533C4740,0.48,1810,0.57,0.94,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_160,__None__,viirs-ir-sources-20130807.kmz,0
2634455,VIIRS,2013-08-07 01:19:35+00:00,,44.530247,29.466156,0101000020E61000008DD5E6FF55773D40ACE63922DF434640,1.73,1850,3.9,5.88,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_164,__None__,viirs-ir-sources-20130807.kmz,1
2634456,VIIRS,2013-08-07 01:19:38+00:00,,48.277542,14.330345,0101000020E610000053CBD6FA22A92C401AA20A7F86234840,4.32,982,2.78,52.67,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_166,__None__,viirs-ir-sources-20130807.kmz,1
2634457,VIIRS,2013-08-07 01:19:38+00:00,,47.279476,18.902416,0101000020E61000001B6327BC04E732402A029CDEC5A34740,1.27,1042,0.96,14.34,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_169,__None__,viirs-ir-sources-20130807.kmz,1
2634458,VIIRS,2013-08-07 01:19:44+00:00,,46.940376,18.943569,0101000020E6100000F984ECBC8DF13240BEF8A23D5E784740,3.49,850,2.72,92.08,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_170,__None__,viirs-ir-sources-20130807.kmz,1
2634459,VIIRS,2013-08-07 01:19:44+00:00,,46.937881,18.954159,0101000020E61000001F2FA4C343F4324017450F7C0C784740,2.16,927,1.69,40.32,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_171,__None__,viirs-ir-sources-20130807.kmz,1
2634460,VIIRS,2013-08-07 01:19:45+00:00,,44.394985,27.562229,0101000020E6100000DFDC5F3DEE8F3B408DB454DE8E324640,0.56,1467,0.98,3.72,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_172,__None__,viirs-ir-sources-20130807.kmz,1
2634461,VIIRS,2013-08-07 01:19:49+00:00,,44.297955,27.156382,0101000020E6100000DEAE97A608283B400057B26323264640,2.06,1164,3.44,33.08,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_173,__None__,viirs-ir-sources-20130807.kmz,1
2634462,VIIRS,2013-08-07 01:19:49+00:00,,44.293499,27.169781,0101000020E6100000707B82C4762B3B4050340F6091254640,1.54,1266,2.58,17.73,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_174,__None__,viirs-ir-sources-20130807.kmz,1
2634463,VIIRS,2013-08-07 01:20:00+00:00,,45.515259,20.947439,0101000020E610000077F4BF5C8BF234401EFCC401F4C14640,2.55,1170,3.01,28.39,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_176,__None__,viirs-ir-sources-20130807.kmz,1
2634464,VIIRS,2013-08-07 01:20:00+00:00,,45.51178,20.960972,0101000020E6100000295FD04202F634409A5FCD0182C14640,4.4,1261,5.2,36.27,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_177,__None__,viirs-ir-sources-20130807.kmz,1
2634465,VIIRS,2013-08-07 01:20:03+00:00,,44.296238,24.191792,0101000020E61000006AA2CF47193138408EEA7420EB254640,4.5,1149,4.86,49.13,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_179,__None__,viirs-ir-sources-20130807.kmz,1
2634466,VIIRS,2013-08-07 01:20:03+00:00,,44.293274,24.201715,0101000020E6100000D61C2098A333384030629F008A254640,3.81,1224,4.12,32.35,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_180,__None__,viirs-ir-sources-20130807.kmz,1
2634467,VIIRS,2013-08-07 01:20:05+00:00,,45.341526,19.945173,0101000020E6100000ED0F94DBF6F13340EA5DBC1FB7AB4640,1.13,1060,1.16,16.23,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_184,__None__,viirs-ir-sources-20130807.kmz,1
2634468,VIIRS,2013-08-07 01:20:07+00:00,,44.427853,23.163698,0101000020E6100000AD6BB41CE82937406C3F19E3C3364640,2.34,1306,2.14,12.98,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_185,__None__,viirs-ir-sources-20130807.kmz,1
2634469,VIIRS,2013-08-07 01:20:10+00:00,,44.32262,22.689644,0101000020E6100000F4E159828CB036408C84B69C4B294640,0.56,1810,0.48,0.79,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_186,__None__,viirs-ir-sources-20130807.kmz,0
2634470,VIIRS,2013-08-07 01:20:10+00:00,,46.477558,13.27398,0101000020E61000002384471B478C2A40BAF8DB9E203D4740,14.75,798,9.35,405.66,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_188,__None__,viirs-ir-sources-20130807.kmz,1
